x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
371.0,1421.0,3.92,35.78,8.0,large_tree,2.236,17.614
1913.0,548.0,2.56,35.76,8.0,large_tree,2.235,137.699
951.0,3.0,1.71,35.76,8.0,large_tree,2.235,200.964
366.0,1429.0,3.92,35.73,8.0,large_tree,2.233,160.085
1581.0,1280.0,2.37,35.7,8.0,large_tree,2.231,83.939
573.0,1762.0,4.08,35.66,8.0,large_tree,2.229,125.851
679.0,221.0,3.14,35.66,8.0,large_tree,2.229,195.434
1226.0,190.0,2.34,35.655,8.0,large_tree,2.228,297.721
672.0,213.0,3.07,35.64,8.0,large_tree,2.228,237.514
1876.0,114.0,2.56,35.64,8.0,large_tree,2.227,131.622
0.0,267.0,1.36,35.59,8.0,large_tree,2.224,287.677
818.0,1692.0,3.21,35.57,8.0,large_tree,2.223,3.094
372.0,210.0,2.59,35.56,8.0,large_tree,2.222,341.641
1589.0,1269.0,2.8,35.51,8.0,large_tree,2.219,62.432
